ano;mes;Homicídio doloso;Latrocínio (roubo seguido de morte);Letalidade violenta;Tentativa de homicídio;Lesão corporal dolosa;Roubo a transeunte;Roubo em coletivo;Roubo de rua;Roubo de veículo;Roubo de carga;Roubo a estabelecimento comercial;Roubo a residência;Roubo a banco;Outros roubos que não os listados acima;Total de roubos;Furto de veículo;Furto a transeunte;Outros furtos que não os listados acima;Total de furtos;Apreensão de drogas;Recuperação de veículo
2019;9;310;7;477;344;4795;5794;996;8857;2613;467;363;80;0;1445;13936;1194;1341;6839;11637;1773;1903
2019;10;321;4;475;427;5712;6301;1111;9619;3028;582;364;95;0;1739;15548;1198;1541;7584;13155;1910;1813
2019;11;320;14;474;380;5402;5442;1103;8570;2979;521;356;63;0;1718;14336;1161;1528;6979;12014;1771;1705
2019;12;330;5;467;410;5413;5076;1029;7935;3118;609;368;88;7;1773;14043;1230;1564;7199;12221;1723;2055
2020;1;358;8;526;448;5369;6194;1181;9563;3246;577;414;74;1;1852;15866;1365;2118;8562;14649;1720;2128
2020;2;326;10;502;421;5408;5692;1298;9055;2925;418;382;61;2;1555;14502;1182;2133;7328;13712;1738;1788
2020;3;374;9;500;361;4069;4400;984;6925;2449;365;308;71;0;1720;11961;1114;1210;6752;10789;1469;1526
2020;4;312;5;501;324;2722;2533;489;4006;1846;337;169;56;2;1406;7893;922;283;4001;5722;1436;1114
2020;5;273;6;409;291;2429;2451;420;3813;1586;455;169;46;2;1185;7315;904;255;4266;5973;1581;991
2020;6;259;2;297;307;3156;2849;580;4380;1743;404;199;38;0;1079;7920;954;331;4797;6705;1502;1060
2020;7;257;7;320;377;3934;3848;846;6039;1817;544;228;77;0;1362;10174;1061;582;5852;8485;1844;1207
2020;8;261;12;326;354;4213;3481;659;5392;1791;415;243;42;2;1190;9173;1107;702;5755;8782;2050;1283
2020;9;239;7;303;343;4560;3567;582;5468;1742;323;294;61;0;1146;9124;1065;698;5888;8985;1984;1173
2020;10;277;5;429;404;4601;3971;768;6016;1898;357;290;49;0;1240;9923;1058;813;5866;9330;2019;1212
2020;11;325;8;416;401;4619;3763;707;5771;2082;331;273;71;1;1294;9908;1052;837;5402;8851;1738;1273
2020;12;283;8;378;321;4666;3542;712;5526;2300;459;324;75;0;1369;10155;1111;807;5509;8920;1709;1190
2021;1;368;12;531;477;5322;4002;1023;6435;2332;363;296;91;0;1412;11058;1183;850;5704;9352;1823;1303
2021;2;246;12;410;333;4489;3963;973;6272;2171;351;325;80;0;1342;10637;1158;735;5630;9052;1664;1232
2021;3;314;8;487;412;4728;3912;1047;6322;2365;397;347;91;0;1601;11234;1141;781;6010;9473;1922;1423
2021;4;305;7;460;336;3979;3302;967;5385;2105;395;303;103;0;1308;9676;1141;611;5217;8308;1848;1253
2021;5;266;7;388;339;4003;3517;858;5613;2002;390;309;71;2;1284;9771;1186;749;5495;8913;1894;1135
2021;6;234;2;340;334;3764;3319;892;5451;1899;387;274;81;2;1273;9466;1124;740;5714;9245;1872;1108
2021;7;250;6;358;314;4036;3639;846;5810;2123;360;263;74;1;1224;9931;1219;872;5424;9265;1699;1086
2021;8;259;12;386;321;4175;3469;776;5427;2120;394;281;82;2;1185;9584;1252;872;5524;9581;1817;1120
2021;9;267;12;358;275;4174;3469;672;5314;1998;391;236;76;0;1146;9235;1181;827;5543;9341;1884;1171
2021;10;271;11;406;316;4182;3122;637;4982;1889;322;208;93;0;1102;8664;1206;753;5419;9132;1902;1037
2021;11;229;14;328;239;4362;3034;533;4668;1615;360;230;87;1;946;7974;1324;968;5596;10158;1768;958
2021;12;238;6;303;280;4456;2799;594;4409;1711;410;228;81;2;944;7856;1302;1144;6711;11815;1584;873
2022;1;251;4;352;309;4900;3132;535;4813;1859;376;198;58;1;903;8289;1314;1118;6374;11423;1739;989
2022;2;253;4;361;292;4577;2918;534;4518;1771;336;223;50;1;914;7880;1295;1208;6345;11766;1728;1008
2022;3;256;6;386;338;5494;3295;551;5168;2146;342;230;74;2;1002;9022;1573;1433;7897;14454;1909;1055
